metrics,query,galago,anserini,galago_best,anserini_best,abs_diff
P_20,enwiki:Anti-Slavery%20International/Anti-Slavery%20Award,0.05,0.05,0.0,0.0,0.0
recall_40,enwiki:Anti-Slavery%20International/Anti-Slavery%20Award,1.0,1.0,0.0,0.0,0.0
ndcg_cut_20,enwiki:Anti-Slavery%20International/Anti-Slavery%20Award,0.25,0.5,-0.25,0.25,0.25
map,enwiki:Anti-Slavery%20International/Current%20projects,0.0075,0.0238,-0.016300000000000002,0.016300000000000002,0.016300000000000002
Rprec,enwiki:Anti-Slavery%20International/Current%20projects,0.0,0.1429,-0.1429,0.1429,0.1429
recip_rank,enwiki:Anti-Slavery%20International/Current%20projects,0.0526,0.1667,-0.11409999999999998,0.11409999999999998,0.11409999999999998
P_20,enwiki:Anti-Slavery%20International/Current%20projects,0.05,0.05,0.0,0.0,0.0
recall_40,enwiki:Anti-Slavery%20International/Current%20projects,0.1429,0.1429,0.0,0.0,0.0
ndcg_cut_20,enwiki:Anti-Slavery%20International/Current%20projects,0.0636,0.0979,-0.0343,0.0343,0.0343
map,enwiki:Anti-Slavery%20International/History,0.007,0.0149,-0.0079,0.0079,0.0079
Rprec,enwiki:Anti-Slavery%20International/History,0.0,0.0769,-0.0769,0.0769,0.0769
recip_rank,enwiki:Anti-Slavery%20International/History,0.0526,0.125,-0.07239999999999999,0.07239999999999999,0.07239999999999999
P_20,enwiki:Anti-Slavery%20International/History,0.05,0.05,0.0,0.0,0.0
recall_40,enwiki:Anti-Slavery%20International/History,0.0769,0.0769,0.0,0.0,0.0
ndcg_cut_20,enwiki:Anti-Slavery%20International/History,0.0432,0.0589,-0.0157,0.0157,0.0157
map,enwiki:Anti-Slavery%20International/Modern-day%20slavery,0.0004,0.0008,-0.0004,0.0004,0.0004
Rprec,enwiki:Anti-Slavery%20International/Modern-day%20slavery,0.0,0.0,0.0,0.0,0.0
recip_rank,enwiki:Anti-Slavery%20International/Modern-day%20slavery,0.0018,0.004,-0.0022,0.0022,0.0022
P_20,enwiki:Anti-Slavery%20International/Modern-day%20slavery,0.0,0.0,0.0,0.0,0.0
recall_40,enwiki:Anti-Slavery%20International/Modern-day%20slavery,0.0,0.0,0.0,0.0,0.0
ndcg_cut_20,enwiki:Anti-Slavery%20International/Modern-day%20slavery,0.0,0.0,0.0,0.0,0.0
map,enwiki:Anti-Slavery%20International/Overview,0.0104,0.0268,-0.0164,0.0164,0.0164
Rprec,enwiki:Anti-Slavery%20International/Overview,0.0,0.0,0.0,0.0,0.0
recip_rank,enwiki:Anti-Slavery%20International/Overview,0.0192,0.05,-0.030800000000000004,0.030800000000000004,0.030800000000000004
P_20,enwiki:Anti-Slavery%20International/Overview,0.0,0.05,-0.05,0.05,0.05
recall_40,enwiki:Anti-Slavery%20International/Overview,0.0,0.5,-0.5,0.5,0.5
ndcg_cut_20,enwiki:Anti-Slavery%20International/Overview,0.0,0.0889,-0.0889,0.0889,0.0889
map,enwiki:Antibiotics,0.0036,0.005,-0.0014000000000000002,0.0014000000000000002,0.0014000000000000002
Rprec,enwiki:Antibiotics,0.0,0.0,0.0,0.0,0.0
recip_rank,enwiki:Antibiotics,0.0063,0.0128,-0.006500000000000001,0.006500000000000001,0.006500000000000001
P_20,enwiki:Antibiotics,0.0,0.0,0.0,0.0,0.0
recall_40,enwiki:Antibiotics,0.0,0.0,0.0,0.0,0.0
ndcg_cut_20,enwiki:Antibiotics,0.0,0.0,0.0,0.0,0.0
map,enwiki:Antibiotics/Classes,0.0106,0.0312,-0.0206,0.0206,0.0206
